Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SnapshotYear,TurnoutDelta_prior,RegistrationGrowth_prior
Mpumalanga,Ward 83106014,MP316,3817,0.4448519779931884,False,8.247220052745229,0.42879779643713517,2021,-0.322315139899994,-0.06054639428993358
Mpumalanga,Ward 83106015,MP316,4935,0.4678824721377912,False,8.504107951867582,0.4280301132989817,2021,-0.10323694552894103,-0.029116663387763086
Mpumalanga,Ward 83106016,MP316,3322,0.3663455749548465,False,8.10832229017324,0.4314146765384132,2021,-0.10313663505383153,-0.03905120046282906
Mpumalanga,Ward 83106017,MP316,4466,0.3947604120017913,False,8.404248432400102,0.43046751530351507,2021,-0.14958406100592075,-0.04327335047129388
Mpumalanga,Ward 83106018,MP316,4068,0.4183874139626352,False,8.31090675716845,0.42967994857148695,2021,-0.2048812840983067,-0.06094182825484762
Mpumalanga,Ward 83106019,MP316,4747,0.3985675163261007,False,8.465268118551318,0.4303406118260381,2021,-0.17527300442247534,-0.034377542717656584
Mpumalanga,Ward 83106020,MP316,3460,0.4190751445086705,False,8.14902386805177,0.4296570242199524,2021,-0.1493066203540328,-0.07757931218341774
Mpumalanga,Ward 83106021,MP316,3663,0.4198744198744198,False,8.206037762778815,0.4296303817077608,2021,-0.0734362617989715,-0.22212784030579746
Mpumalanga,Ward 83106022,MP316,4697,0.3653395784543325,False,8.454679286026995,0.43144820975509707,2021,-0.11973504841133908,0.09538246268656714
Mpumalanga,Ward 83106023,MP316,3487,0.3722397476340694,False,8.156797046675651,0.4312182041157725,2021,-0.1204312621379175,-0.05347448425624324
Mpumalanga,Ward 83106024,MP316,2271,0.4020255394099515,False,7.7279755421055585,0.4302253443899097,2021,-0.07672534107842599,-0.46677623855365113
Mpumalanga,Ward 83106025,MP316,2935,0.4374787052810903,False,7.984462732262196,0.4290435721942051,2021,-0.040228301088336416,-0.28098971092601666
Mpumalanga,Ward 83106026,MP316,2834,0.4477769936485533,False,7.949444420250626,0.4287002959152897,2021,-0.04866428749023671,-0.27961362480935437
Mpumalanga,Ward 83106027,MP316,5358,0.4525942515864128,False,8.586346050104554,0.42853972065069434,2021,-0.00674349675795799,0.41933774834437076
Mpumalanga,Ward 83106028,MP316,3857,0.4080891884884625,False,8.257644958208228,0.4300232227539594,2021,-0.05709599669672272,0.14281481481481473
Mpumalanga,Ward 83106029,MP316,3570,0.4103641456582633,False,8.180320874773685,0.4299473908482993,2021,-0.07422771508038639,-0.160197600564573
Mpumalanga,Ward 83106030,MP316,4918,0.3621390809272062,False,8.500657222776137,0.43155489300600125,2021,-0.08815024048257808,0.2935297211993688
Mpumalanga,Ward 83106031,MP316,4725,0.4179894179894179,False,8.460622839927844,0.42969321510392755,2021,-0.11873864268230472,0.02383531960996743
Mpumalanga,Ward 83201001,MP321,2997,0.3293293293293293,False,8.005367067316664,0.4353660066552831,2021,-0.14951682451682452,-0.1766483516483517
Mpumalanga,Ward 83201002,MP321,3333,0.4206420642064206,False,8.11162807830774,0.42834195012627607,2021,-0.17460447712029104,0.18233416105001776
Mpumalanga,Ward 83201003,MP321,4075,0.3538650306748466,False,8.312626025674962,0.43347864501332023,2021,-0.2023407727877235,-0.006339917093391878
Mpumalanga,Ward 83201004,MP321,2441,0.5522326915198689,False,7.80016307039296,0.4182195941790878,2021,0.011288280282570562,-0.27047220561864915
Mpumalanga,Ward 83201005,MP321,4010,0.4167082294264339,False,8.296546520300614,0.4286445528016597,2021,-0.1251730909322763,-0.23487883991604652
Mpumalanga,Ward 83201006,MP321,3731,0.4138300723666577,False,8.224431573221159,0.42886594949856555,2021,-0.09069737528472888,0.055744199207696576
Mpumalanga,Ward 83201007,MP321,4419,0.4433129667345553,False,8.39366870513074,0.4265980345471888,2021,-0.10503105035946186,0.18028846153846145
Mpumalanga,Ward 83201008,MP321,3798,0.545550289626119,False,8.242229891372231,0.4187336250939916,2021,0.005332609774778341,0.008229360233607652
Mpumalanga,Ward 83201009,MP321,4379,0.501941082438913,False,8.384575666801398,0.4220881794930075,2021,-0.06474006438993152,-0.0488705473501303
Mpumalanga,Ward 83201010,MP321,3473,0.3987906708897207,False,8.152774052744075,0.43002282653525303,2021,-0.146639436637161,-0.0663978494623656
Mpumalanga,Ward 83201011,MP321,2769,0.249909714698447,False,7.926241523170962,0.4414752077807356,2021,-0.1337380840436914,-0.032494758909853205
Mpumalanga,Ward 83201012,MP321,3952,0.5242914979757085,False,8.281977058867758,0.4203689167594078,2021,-0.1566412866607798,0.08422496570644711
Mpumalanga,Ward 83201013,MP321,4408,0.4262704174228675,False,8.391176350832751,0.4279089998788571,2021,-0.09523851705760905,0.4586366644606221
Mpumalanga,Ward 83201014,MP321,3174,0.4124133585381222,False,8.062747901086354,0.4289749274853759,2021,-0.06989257753493716,-0.09417808219178081
Mpumalanga,Ward 83204001,MP324,5931,0.4382060360816051,False,8.687948111838727,0.4538269372453902,2021,-0.1828339088219762,0.02117768595041314
Mpumalanga,Ward 83204002,MP324,4651,0.4119544184046441,False,8.444837529224097,0.4546473002977952,2021,-0.21609861718502799,-0.18859036985345434
Mpumalanga,Ward 83204003,MP324,5256,0.3637747336377473,False,8.567125560164447,0.45615291544676073,2021,-0.23650454721405928,-0.08256240181532548
Mpumalanga,Ward 83204004,MP324,6940,0.4374639769452449,False,8.84505705350085,0.4538501265934014,2021,-0.14378482962340128,0.3251861752911973
Mpumalanga,Ward 83204005,MP324,6215,0.3671761866452132,False,8.734721003944811,0.4560466200402774,2021,-0.23092153808436539,0.159082431928385
Mpumalanga,Ward 83204006,MP324,5522,0.514668598333937,False,8.6164953924901,0.4514374821750048,2021,-0.08270361188924513,-0.006119510439164921
Mpumalanga,Ward 83204007,MP324,5718,0.4856593214410633,False,8.651374372882257,0.4523440220779071,2021,-0.10814834720769617,0.17244207504613485
Mpumalanga,Ward 83204008,MP324,4839,0.4542260797685472,False,8.48446336679332,0.4533263108801732,2021,-0.15200203889738245,-0.10834715312327248
Mpumalanga,Ward 83204009,MP324,7044,0.4626632595116411,False,8.859931469616097,0.45306264901320153,2021,-0.18470338464771063,0.18906144496961508
Mpumalanga,Ward 83204010,MP324,5938,0.4206803637588414,False,8.689127655323706,0.45437461450547656,2021,-0.1856468545114694,0.1115687008611006
Mpumalanga,Ward 83204011,MP324,4839,0.535234552593511,False,8.48446336679332,0.4507947961043931,2021,-0.06824297073134056,0.026081424936386766
Mpumalanga,Ward 83204012,MP324,5596,0.5318084345961401,False,8.629807335785372,0.45090186229181095,2021,-0.13081971079062593,0.043056849953401644
Mpumalanga,Ward 83204013,MP324,5090,0.493713163064833,False,8.53503310954457,0.4520923395271643,2021,-0.12469753717120163,0.001180173092053538
Mpumalanga,Ward 83204014,MP324,5320,0.4892857142857142,False,8.57922858233569,0.4522306973015118,2021,-0.1126784682677231,0.024455998459464556
Mpumalanga,Ward 83204015,MP324,6584,0.419501822600243,False,8.792397742356906,0.45441144391668276,2021,-0.1273938180866791,0.24249858463861096
Mpumalanga,Ward 83204016,MP324,4354,0.534680753330271,False,8.378850241794492,0.45081210233136937,2021,-0.12903772615787357,-0.18065487391795254
Mpumalanga,Ward 83204017,MP324,6105,0.4661752661752661,False,8.716863386544805,0.45295289880496326,2021,-0.1764914004914006,0.08533333333333326
Mpumalanga,Ward 83204018,MP324,3984,0.5409136546184738,False,8.290041618704489,0.450617324166113,2021,-0.09456629677885298,-0.19319562575941673
Mpumalanga,Ward 83204019,MP324,5007,0.4801278210505292,False,8.518592212329946,0.4525168814651113,2021,-0.15027664198991708,-0.002390914524805776
Mpumalanga,Ward 83204020,MP324,4262,0.4702017832003754,False,8.357493812658563,0.4528270701479286,2021,-0.12559051760535422,-0.04610564010743057
Mpumalanga,Ward 83204021,MP324,5804,0.4097174362508615,False,8.666302614004078,0.4547172059901009,2021,-0.1921144603008626,0.04238505747126431
Mpumalanga,Ward 83204022,MP324,4512,0.3585992907801418,False,8.414495793177895,0.4563146480360609,2021,-0.1709014656495102,-0.024854117138534693
Mpumalanga,Ward 83204023,MP324,6387,0.4607797087834664,False,8.76201995356159,0.453121509973457,2021,-0.13731122314318522,0.6043707611152977
Mpumalanga,Ward 83204024,MP324,3704,0.4244060475161987,False,8.21716859576607,0.45425818688805913,2021,-0.21702821543200845,-0.2621513944223107
Mpumalanga,Ward 83204025,MP324,5369,0.5067982864593034,False,8.58839695042257,0.4516834294210871,2021,-0.10149922802397082,0.0033638572229490737
Mpumalanga,Ward 83204026,MP324,4461,0.4059627886124187,False,8.403128235128264,0.45483453872880225,2021,-0.18271191018276206,0.07493975903614447
Mpumalanga,Ward 83204027,MP324,4935,0.4089159067882472,False,8.504107951867582,0.4547422537858076,2021,-0.17407821351930597,0.11601085481682505
Mpumalanga,Ward 83204028,MP324,4344,0.4212707182320442,False,8.37655086161377,0.45435616592818895,2021,-0.15700555095331592,0.02573789846517127
Mpumalanga,Ward 83204029,MP324,5911,0.4645576044662494,False,8.684570300824369,0.45300345073337006,2021,-0.18679177554833848,0.07786287381473378
Mpumalanga,Ward 83204030,MP324,4951,0.5021207836800646,False,8.507344855361422,0.4518296013829383,2021,-0.09448047061894405,0.0016184503338054768
Mpumalanga,Ward 83204031,MP324,4107,0.4772339907475043,False,8.320448113956559,0.45260731366208085,2021,-0.18100001557699097,-0.0009729992702505186
Mpumalanga,Ward 83204032,MP324,4313,0.380477625782518,False,8.369388996647842,0.45563095006723664,2021,-0.20594212730390182,-0.04916225749559078
Mpumalanga,Ward 83204033,MP324,4790,0.4217118997912317,False,8.474285690404962,0.45434237900446434,2021,-0.1503424147072352,0.04905825667980723
Mpumalanga,Ward 83205001,MP325,8471,0.4027859756817377,False,9.044403844431551,0.4283991614546301,2021,-0.15424360650795432,0.2917047880451358
Mpumalanga,Ward 83205002,MP325,5151,0.3772083090662007,False,8.546946149565585,0.42910965219395053,2021,-0.13314696960024147,-0.13268226974238084
Mpumalanga,Ward 83205003,MP325,6768,0.4236111111111111,False,8.81996090128606,0.4278206854704808,2021,-0.09719156447417315,-0.09458193979933105
Mpumalanga,Ward 83205004,MP325,6214,0.34872867718056,False,8.734560089952993,0.4299007530796628,2021,-0.15150765494485363,-0.020954781786670873
Mpumalanga,Ward 83205005,MP325,5922,0.3240459304289091,False,8.686429508661536,0.4305863849338753,2021,-0.1847873737516051,0.035857967465454
Mpumalanga,Ward 83205006,MP325,6841,0.3707060371290747,False,8.830689198760998,0.42929027085887067,2021,-0.17495770514044928,-0.01610815475334393
Mpumalanga,Ward 83205007,MP325,5506,0.4422448238285507,False,8.613593685702552,0.4273030823394408,2021,-0.03634324282617063,-0.013438451890342207
Mpumalanga,Ward 83205008,MP325,5826,0.3863714383796773,False,8.67008593751938,0.42885512082413174,2021,-0.13239867245335807,0.041473006792992484
Mpumalanga,Ward 83205009,MP325,6968,0.3626578645235361,False,8.849083518532339,0.42951383120902453,2021,-0.14137327253512388,-0.03141506811231587
Mpumalanga,Ward 83205010,MP325,4776,0.4126884422110553,False,8.471358655072438,0.4281240929399268,2021,-0.10997780324779793,-0.24561680619175486
Mpumalanga,Ward 83205011,MP325,6457,0.3335914511382995,False,8.772920092626467,0.4303212315808367,2021,-0.14947852628833697,-0.028291948833709557
