Province,Ward,MunicipalityCode,RegisteredVoters_2011,VotesCast_2011,Turnout_2011,RegisteredVoters_2016,VotesCast_2016,Turnout_2016,RegisteredVoters_2021,VotesCast_2021,Turnout_2021,TurnoutDelta_2011_2016,RegistrationGrowth_2011_2016
Eastern Cape,Ward 21201010,EC121,3289,1939,0.58954089388872,3610,1986,0.5501385041551247,3488,1529,0.4383600917431192,-0.03940238973359533,0.09759805411979317
Eastern Cape,Ward 21201011,EC121,3307,1961,0.5929845781675235,4707,2570,0.5459953261100489,3896,1948,0.5,-0.04698925205747462,0.4233444209253099
Eastern Cape,Ward 21201012,EC121,3492,2031,0.5816151202749141,3550,1965,0.5535211267605634,3181,1471,0.4624331971078277,-0.028093993514350712,0.016609392898052633
Eastern Cape,Ward 21201013,EC121,3801,1476,0.388318863456985,4115,1963,0.4770352369380315,3883,1609,0.4143703322173577,0.0887163734810465,0.08260983951591694
Eastern Cape,Ward 21201014,EC121,3690,2326,0.6303523035230353,4176,2485,0.5950670498084292,3476,2038,0.5863060989643268,-0.03528525371460611,0.13170731707317063
Eastern Cape,Ward 21201015,EC121,4222,2628,0.6224538133585978,3699,1966,0.5314949986482833,3498,1657,0.4736992567181246,-0.09095881471031453,-0.12387494078635719
Eastern Cape,Ward 21201016,EC121,3659,2114,0.5777534845586225,3868,2143,0.5540330920372285,3863,1845,0.4776080766243852,-0.023720392521394018,0.05711943153867183
Eastern Cape,Ward 21201017,EC121,3807,2096,0.5505647491463095,4550,2254,0.4953846153846153,3999,1746,0.436609152288072,-0.05518013376169417,0.19516679800367753
Eastern Cape,Ward 21201018,EC121,3792,2324,0.6128691983122363,3661,1901,0.5192570335973777,4187,2009,0.479818485789348,-0.09361216471485856,-0.03454641350210974
Eastern Cape,Ward 21201019,EC121,4537,2469,0.5441921974873264,4168,1952,0.4683301343570057,4425,1838,0.4153672316384181,-0.07586206313032068,-0.08133127617368308
Eastern Cape,Ward 21201020,EC121,3933,2366,0.6015764047800661,3928,2114,0.5381873727087576,4321,2039,0.4718815089099745,-0.06338903207130853,-0.001271294177472626
Eastern Cape,Ward 21201021,EC121,3395,2178,0.6415316642120766,3300,1772,0.536969696969697,3408,1539,0.4515845070422535,-0.10456196724237965,-0.027982326951399128
Eastern Cape,Ward 21201022,EC121,3655,2366,0.6473324213406293,3555,2241,0.6303797468354431,3513,1762,0.5015656134358099,-0.016952674505186227,-0.02735978112175108
Eastern Cape,Ward 21201023,EC121,4259,2699,0.6337168349377789,4316,2556,0.5922150139017609,4072,1997,0.4904223968565815,-0.04150182103601796,0.013383423338811928
Eastern Cape,Ward 21201024,EC121,3907,2501,0.6401330944458664,3464,1903,0.549364896073903,3437,1666,0.4847250509164969,-0.09076819837196337,-0.11338622984386992
Eastern Cape,Ward 21201025,EC121,3770,1950,0.5172413793103449,4742,2366,0.4989455925769717,4021,1594,0.3964188012932106,-0.018295786733373176,0.25782493368700266
Eastern Cape,Ward 21201026,EC121,3721,2149,0.5775329212577264,3479,1784,0.5127910319057201,3345,1874,0.5602391629297458,-0.06474188935200631,-0.06503628056973931
Eastern Cape,Ward 21201027,EC121,3098,1905,0.6149128469980633,3661,2104,0.5747063643813166,3537,1625,0.4594288945433983,-0.04020648261674664,0.18173014848289215
Eastern Cape,Ward 21201028,EC121,3259,1890,0.5799324946302546,4261,2180,0.5116169913165923,3952,1873,0.4739372469635627,-0.06831550331366232,0.3074562749309604
Eastern Cape,Ward 21201029,EC121,3263,2005,0.6144652160588415,3739,2290,0.6124632254613533,3487,2029,0.5818755377114998,-0.002001990597488179,0.1458780263561139
Eastern Cape,Ward 21201030,EC121,3877,2343,0.6043332473562032,3812,2059,0.5401364113326338,3386,1510,0.4459539279385706,-0.0641968360235694,-0.016765540366262544
Eastern Cape,Ward 21201031,EC121,3403,2179,0.640317367029092,3487,1974,0.5661026670490393,3845,1961,0.5100130039011703,-0.0742146999800527,0.02468410226270934
Eastern Cape,Ward 21202001,EC122,4324,1640,0.3792784458834413,4497,1879,0.4178341116299755,4156,1079,0.2596246390760346,0.03855566574653424,0.04000925069380212
Eastern Cape,Ward 21202002,EC122,4298,2016,0.46905537459283386,4146,1956,0.4717800289435601,3964,1349,0.3403128153380423,0.002724654350726219,-0.03536528617961843
Eastern Cape,Ward 21202003,EC122,3793,2022,0.5330872660163459,3782,1726,0.4563722897937599,3758,1261,0.3355508249068653,-0.07671497622258605,-0.0029000790930662212
Eastern Cape,Ward 21202004,EC122,4053,1914,0.4722427831236121,4124,1750,0.4243452958292919,4202,1486,0.3536411232746311,-0.047897487294320196,0.01751788798420928
Eastern Cape,Ward 21202005,EC122,4139,1826,0.4411693645808166,4335,1762,0.4064590542099192,4305,1371,0.3184668989547038,-0.034710310370897446,0.047354433438028476
Eastern Cape,Ward 21202006,EC122,4241,1386,0.32680971468993164,3796,1295,0.3411485774499473,3917,886,0.226193515445494,0.01433886276001567,-0.10492808299929257
Eastern Cape,Ward 21202007,EC122,3861,2075,0.5374255374255374,3965,1781,0.4491803278688525,3860,1315,0.3406735751295336,-0.08824520955668497,0.026936026936027035
Eastern Cape,Ward 21202008,EC122,3359,1728,0.5144388210777017,3766,1940,0.5151354221986192,3831,1757,0.4586269903419472,0.0006966011209175171,0.1211670139922596
Eastern Cape,Ward 21202009,EC122,3720,2111,0.5674731182795699,3700,1860,0.5027027027027027,3582,1387,0.387213847012842,-0.06477041557686725,-0.005376344086021501
Eastern Cape,Ward 21202010,EC122,3500,1968,0.5622857142857143,3635,1906,0.5243466299862448,3309,1668,0.5040797824116047,-0.03793908429946946,0.03857142857142848
Eastern Cape,Ward 21202011,EC122,4176,2300,0.5507662835249042,4385,2417,0.5511972633979475,4128,1893,0.4585755813953488,0.0004309798730433023,0.05004789272030652
Eastern Cape,Ward 21202012,EC122,3731,1999,0.5357812918788528,4068,2180,0.5358898721730581,3974,1916,0.4821338701560141,0.00010858029420524051,0.09032430983650497
Eastern Cape,Ward 21202013,EC122,3415,1934,0.5663250366032211,3738,2046,0.5473515248796148,3565,1619,0.4541374474053296,-0.018973511723606284,0.09458272327964856
Eastern Cape,Ward 21202014,EC122,3593,2141,0.5958808794878931,3984,2123,0.5328815261044176,3736,1805,0.48313704496788,-0.06299935338347551,0.10882271082660733
