Province,Ward,MunicipalityCode,Municipality_2016,Municipality_2021,RegisteredVoters_2016,VotesCast_2016,Turnout_2016,RegisteredVoters_2021,VotesCast_2021,Turnout_2021
Eastern Cape,Ward 21306008,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3875,2294,0.592,3674,1880,0.5117038649972782
Eastern Cape,Ward 21306009,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3885,2280,0.5868725868725869,3512,1943,0.553246013667426
Eastern Cape,Ward 21306010,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3320,2048,0.6168674698795181,3369,1911,0.5672306322350846
Eastern Cape,Ward 21306011,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3622,2066,0.5704030922142462,3715,2053,0.5526244952893674
Eastern Cape,Ward 21306012,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3525,2137,0.6062411347517731,3362,1601,0.47620464009518143
Eastern Cape,Ward 21306013,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3114,1916,0.6152858060372511,3035,1703,0.5611202635914333
Eastern Cape,Ward 21306014,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3355,2113,0.629806259314456,3395,1998,0.5885125184094256
Eastern Cape,Ward 21306015,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3937,2171,0.5514351028702057,3656,1813,0.49589715536105033
Eastern Cape,Ward 21306016,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3255,1775,0.5453149001536098,3137,1513,0.4823079375199235
Eastern Cape,Ward 21306017,EC136,EC136 - Emalahleni,EC136 - Emalahleni,3192,1835,0.574874686716792,3054,1738,0.5690897184020957
Eastern Cape,Ward 21307001,EC137,EC137 - Engcobo,EC137 - Engcobo,3406,1748,0.5132119788608338,3269,1529,0.4677271336800245
Eastern Cape,Ward 21307002,EC137,EC137 - Engcobo,EC137 - Engcobo,3445,1943,0.5640058055152395,3134,1507,0.48085513720485
Eastern Cape,Ward 21307003,EC137,EC137 - Engcobo,EC137 - Engcobo,3238,1739,0.5370599135268684,2977,1490,0.5005038629492778
Eastern Cape,Ward 21307004,EC137,EC137 - Engcobo,EC137 - Engcobo,3668,2075,0.5657033805888768,3522,1646,0.4673480976717774
Eastern Cape,Ward 21307005,EC137,EC137 - Engcobo,EC137 - Engcobo,3231,1721,0.5326524295883628,3038,1631,0.5368663594470046
Eastern Cape,Ward 21307006,EC137,EC137 - Engcobo,EC137 - Engcobo,3459,1687,0.4877132119109569,3460,1953,0.5644508670520231
Eastern Cape,Ward 21307007,EC137,EC137 - Engcobo,EC137 - Engcobo,3955,2169,0.5484197218710493,3564,1527,0.42845117845117847
Eastern Cape,Ward 21307008,EC137,EC137 - Engcobo,EC137 - Engcobo,3416,1931,0.5652810304449649,3199,1597,0.4992185057830572
Eastern Cape,Ward 21307009,EC137,EC137 - Engcobo,EC137 - Engcobo,4134,2036,0.49250120948234155,3904,1748,0.44774590163934425
Eastern Cape,Ward 21307010,EC137,EC137 - Engcobo,EC137 - Engcobo,4180,1842,0.44066985645933016,4053,1463,0.3609671848013817
Eastern Cape,Ward 21307011,EC137,EC137 - Engcobo,EC137 - Engcobo,3116,1336,0.4287548138639281,3571,1377,0.38560627275273035
Eastern Cape,Ward 21307012,EC137,EC137 - Engcobo,EC137 - Engcobo,3499,1873,0.535295798799657,3072,1513,0.4925130208333333
Eastern Cape,Ward 21307013,EC137,EC137 - Engcobo,EC137 - Engcobo,3875,2011,0.5189677419354839,3647,1558,0.4272004387167535
Eastern Cape,Ward 21307014,EC137,EC137 - Engcobo,EC137 - Engcobo,3797,2086,0.5493810903344746,3076,1454,0.4726918075422627
Eastern Cape,Ward 21307015,EC137,EC137 - Engcobo,EC137 - Engcobo,4168,2095,0.5026391554702495,3956,1885,0.4764914054600607
Eastern Cape,Ward 21307016,EC137,EC137 - Engcobo,EC137 - Engcobo,3775,1735,0.4596026490066225,3542,1654,0.46696781479390176
Eastern Cape,Ward 21307017,EC137,EC137 - Engcobo,EC137 - Engcobo,3765,1919,0.5096945551128818,3740,1768,0.4727272727272727
Eastern Cape,Ward 21307018,EC137,EC137 - Engcobo,EC137 - Engcobo,3919,2068,0.5276856340903292,3761,1797,0.47779845785695296
Eastern Cape,Ward 21307019,EC137,EC137 - Engcobo,EC137 - Engcobo,4230,2236,0.5286052009456265,4070,1962,0.48206388206388207
Eastern Cape,Ward 21307020,EC137,EC137 - Engcobo,EC137 - Engcobo,3218,1791,0.5565568676196395,3814,1824,0.47823807026743576
Eastern Cape,Ward 21308001,EC138,EC138 - Sakhisizwe,EC138 - Sakhisizwe,3860,2050,0.5310880829015544,3682,1747,0.4744703965236285
Eastern Cape,Ward 21308002,EC138,EC138 - Sakhisizwe,EC138 - Sakhisizwe,3712,2072,0.5581896551724138,3587,1817,0.5065514357401728
Eastern Cape,Ward 21308003,EC138,EC138 - Sakhisizwe,EC138 - Sakhisizwe,3916,2194,0.5602655771195098,3372,1668,0.49466192170818507
Eastern Cape,Ward 21308004,EC138,EC138 - Sakhisizwe,EC138 - Sakhisizwe,2889,1329,0.46002076843198336,3266,1340,0.4102878138395591
Eastern Cape,Ward 21308005,EC138,EC138 - Sakhisizwe,EC138 - Sakhisizwe,3785,2065,0.5455746367239102,3827,1575,0.4115495165926313
Eastern Cape,Ward 21308006,EC138,EC138 - Sakhisizwe,EC138 - Sakhisizwe,3282,1920,0.5850091407678245,2901,1450,0.49982764563943466
Eastern Cape,Ward 21308007,EC138,EC138 - Sakhisizwe,EC138 - Sakhisizwe,3094,1771,0.5723981900452488,2954,1403,0.474949221394719
Eastern Cape,Ward 21308008,EC138,EC138 - Sakhisizwe,EC138 - Sakhisizwe,2973,1867,0.6279852001345443,3379,1981,0.5862681266646937
Eastern Cape,Ward 21308009,EC138,EC138 - Sakhisizwe,EC138 - Sakhisizwe,3121,1652,0.5293175264338353,3060,1679,0.5486928104575164
Eastern Cape,Ward 21309001,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3591,1910,0.531885268727374,3486,1422,0.4079173838209983
Eastern Cape,Ward 21309002,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3540,1792,0.5062146892655367,3212,1435,0.44676214196762143
Eastern Cape,Ward 21309003,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3269,1764,0.5396145610278372,3067,1617,0.5272253015976525
Eastern Cape,Ward 21309004,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3282,1745,0.5316879951249238,3168,1548,0.48863636363636365
Eastern Cape,Ward 21309005,EC139,EC139 - Tsolwana/Inkwanca/Lukanji,EC139 - Enoch Mgijima,3292,1470,0.4465370595382746,3225,1127,0.34945736434108526
