Province,Ward,MunicipalityCode,RegisteredVoters_prior,Turnout_prior,IsMetro,LogRegisteredVoters_prior,MunicipalityAvgTurnout_prior,SpoiltRatio_prior,SnapshotYear
KwaZulu-Natal,Ward 52602013,KZN262,3809,0.4943554738776581,False,8.245121966478605,0.5466399279548908,0.013276686139139671,2021
KwaZulu-Natal,Ward 52602014,KZN262,4214,0.5073564309444708,False,8.346167594364134,0.5457112881644042,0.007951356407857811,2021
KwaZulu-Natal,Ward 52602015,KZN262,3288,0.5757299270072993,False,8.098034756176071,0.5408274670170593,0.03592181722134179,2021
KwaZulu-Natal,Ward 52603001,KZN263,4723,0.4698284988354859,False,8.460199469896118,0.47201839214559205,0.012618296529968454,2021
KwaZulu-Natal,Ward 52603002,KZN263,4302,0.4690841469084147,False,8.366835309827675,0.4720538374754526,0.011892963330029732,2021
KwaZulu-Natal,Ward 52603003,KZN263,4081,0.4778240627297231,False,8.314097335405807,0.4716376510077712,0.015897435897435898,2021
KwaZulu-Natal,Ward 52603004,KZN263,4264,0.5293151969981238,False,8.357962965845681,0.46918569223308554,0.017722640673460344,2021
KwaZulu-Natal,Ward 52603005,KZN263,4572,0.4391951006124234,False,8.427706024914702,0.47347712539430936,0.011454183266932271,2021
KwaZulu-Natal,Ward 52603006,KZN263,3743,0.5402083889927866,False,8.22764270790443,0.4686669688047682,0.009891196834817012,2021
KwaZulu-Natal,Ward 52603007,KZN263,4340,0.4539170506912442,False,8.375629627094451,0.47277608015246075,0.01065989847715736,2021
KwaZulu-Natal,Ward 52603008,KZN263,4368,0.4441391941391941,False,8.38206051742474,0.47324169236922503,0.010824742268041237,2021
KwaZulu-Natal,Ward 52603009,KZN263,4209,0.4749346638156331,False,8.344980368770571,0.47177524143225175,0.0050025012506253125,2021
KwaZulu-Natal,Ward 52603010,KZN263,3601,0.4057206331574562,False,8.188966863648876,0.47507114765406966,0.009582477754962354,2021
KwaZulu-Natal,Ward 52603011,KZN263,4521,0.4242424242424242,False,8.416488487294606,0.47418915760240454,0.024504692387904068,2021
KwaZulu-Natal,Ward 52603012,KZN263,4142,0.5439401255432158,False,8.328934041955529,0.4684892670642716,0.010208610741233911,2021
KwaZulu-Natal,Ward 52603013,KZN263,3661,0.4282982791586998,False,8.205491613120236,0.47399602165401045,0.02295918367346939,2021
KwaZulu-Natal,Ward 52603014,KZN263,4379,0.5167846540306006,False,8.384575666801398,0.46978238475534856,0.025187803800265134,2021
KwaZulu-Natal,Ward 52603015,KZN263,4169,0.5034780522907172,False,8.335431477880796,0.4704160324572477,0.02191519771319676,2021
KwaZulu-Natal,Ward 52603016,KZN263,3815,0.4414154652686762,False,8.246695943718557,0.47337139374401155,0.013657957244655582,2021
KwaZulu-Natal,Ward 52603017,KZN263,4920,0.5225609756097561,False,8.501063809486354,0.46950732182300775,0.016725009723842863,2021
KwaZulu-Natal,Ward 52603018,KZN263,4056,0.4686883629191321,False,8.30795254527102,0.47207268433208516,0.009468700683850605,2021
KwaZulu-Natal,Ward 52603019,KZN263,3896,0.4938398357289528,False,8.267705664762426,0.4708749951506651,0.008316008316008316,2021
KwaZulu-Natal,Ward 52603020,KZN263,4500,0.3662222222222222,False,8.411832675758411,0.4769520243652713,0.0036407766990291263,2021
KwaZulu-Natal,Ward 52603021,KZN263,3999,0.5236309077269318,False,8.293799608846818,0.4694563726745708,0.025310410697230182,2021
KwaZulu-Natal,Ward 52603022,KZN263,4205,0.4449464922711058,False,8.344029572407049,0.47320324960103877,0.013361838588989846,2021
KwaZulu-Natal,Ward 52605001,KZN265,4391,0.5463447961739922,False,8.387312270561717,0.5106364039752599,0.010004168403501459,2021
KwaZulu-Natal,Ward 52605002,KZN265,4567,0.5485001094810598,False,8.426611813185,0.5105286383099065,0.02155688622754491,2021
KwaZulu-Natal,Ward 52605003,KZN265,4302,0.5827522082752208,False,8.366835309827675,0.5088160333701984,0.013562026326286399,2021
KwaZulu-Natal,Ward 52605004,KZN265,3813,0.5192761605035405,False,8.246171559857563,0.5119898357587824,0.011111111111111112,2021
KwaZulu-Natal,Ward 52605005,KZN265,4186,0.5590062111801242,False,8.339500903005945,0.5100033332249533,0.005555555555555556,2021
KwaZulu-Natal,Ward 52605006,KZN265,4629,0.4679196370706416,False,8.44009614103127,0.5145576619304274,0.020313942751615882,2021
KwaZulu-Natal,Ward 52605007,KZN265,4297,0.5375843611822202,False,8.365672383774996,0.5110744257248484,0.01904761904761905,2021
KwaZulu-Natal,Ward 52605008,KZN265,4399,0.4989770402364173,False,8.389132521348719,0.5130047917721386,0.007289293849658315,2021
